Position,Track Name,Artist
15,Fuck The Other Side,Kvngshad
20,"fuck, i'm lonely",Lauv
20,"fuck, i'm lonely",Lauv
33,Gametime,Shepherd
33,Gametime,Shepherd
43,Georgia,Sean Stemaly
43,Georgia,Sean Stemaly
46,GET OFF MY D!CK,ILIRA
46,GET OFF MY D!CK,ILIRA
12,Get You The Moon (feat. Snøw),Kina
12,Get You The Moon (feat. Snøw),Kina
22,Ghostbusters,Ray Parker Jr.
22,Ghostbusters,Ray Parker Jr.
34,Giant (with Rag'n'Bone Man),Calvin Harris
34,Giant (with Rag'n'Bone Man),Calvin Harris
12,GIANTS,True Damage
12,GIANTS,True Damage
38,GIRL,Maren Morris
38,GIRL,Maren Morris
27,Girls Love Beyoncé (feat. James Fauntleroy),Drake
27,Girls Love Beyoncé (feat. James Fauntleroy),Drake
12,Giving You Up,Kameron Marlowe
12,Giving You Up,Kameron Marlowe
8,Glitter,070 Shake
8,Glitter,070 Shake
22,Gloria,Laura Branigan
22,Gloria,Laura Branigan
50,"Go Loko (feat. Tyga, Jon Z)",YG
50,"Go Loko (feat. Tyga, Jon Z)",YG
17,God Bless The U.S.A.,Lee Greenwood
17,God Bless The U.S.A.,Lee Greenwood
19,God's Country,Blake Shelton
19,God's Country,Blake Shelton
20,Goin Baby,DaBaby
20,Goin Baby,DaBaby
14,Going Bad (feat. Drake),Meek Mill
14,Going Bad (feat. Drake),Meek Mill
37,Golden Hour,Kacey Musgraves
37,Golden Hour,Kacey Musgraves
20,GOMF,DVBBS
20,GOMF,DVBBS
14,gone girl,iann dior
14,gone girl,iann dior
33,"Gonna Love Me (feat. Ghostface Killah, Method Man & Raekwon) - Remix",Teyana Taylor
33,"Gonna Love Me (feat. Ghostface Killah, Method Man & Raekwon) - Remix",Teyana Taylor
15,Good As Hell,Lizzo
38,Good as Hell,Lizzo
15,Good As Hell,Lizzo
38,Good as Hell,Lizzo
29,Good as Hell (feat. Ariana Grande) - Remix,Lizzo
29,Good as Hell (feat. Ariana Grande) - Remix,Lizzo
36,Good Grace - Live,Hillsong UNITED
36,Good Grace - Live,Hillsong UNITED
21,Good Morning,Mak Sauce
21,Good Morning,Mak Sauce
44,Good Thing (with Kehlani),Zedd
44,Good Thing (with Kehlani),Zedd
5,Good Things Fall Apart (with Jon Bellion),ILLENIUM
5,Good Things Fall Apart (with Jon Bellion),ILLENIUM
17,GOOD TIME,Niko Moon
17,GOOD TIME,Niko Moon
36,Goodbyes (Feat. Young Thug),Post Malone
36,Goodbyes (Feat. Young Thug),Post Malone
2,GOODMORNINGTOKYO!,TOKYO’S REVENGE
2,GOODMORNINGTOKYO!,TOKYO’S REVENGE
2,Gordon Ramsay,HL Wave
2,Gordon Ramsay,HL Wave
16,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville
16,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville
44,Got What I Got,Jason Aldean
44,Got What I Got,Jason Aldean
41,Gotta Go,CHUNG HA
41,Gotta Go,CHUNG HA
33,Graduation (with Juice WRLD),benny blanco
33,Graduation (with Juice WRLD),benny blanco
16,Graveyard,Halsey
16,Graveyard,Halsey
31,Great One,Jessie Reyez
31,Great One,Jessie Reyez
21,Grinding All My Life,Nipsey Hussle
21,Grinding All My Life,Nipsey Hussle
31,Grip,Seeb
