4,If the World Was Ending (feat. Julia Michaels),JP Saxe
43,Immortal,21 Savage
43,Imported (with 6LACK),Jessie Reyez
36,In Betweenin',AUSTN
37,In My Head,Peter Manos
42,In My Room,Frank Ocean
11,In The Dark,YG
21,In The Party,Flo Milli
28,Insomnia,Daya
36,Into the Unknown,Idina Menzel
17,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco
13,Isis,Joyner Lucas
2,It's Thanksgiving,Nicole Westbrook
45,It's You,Ali Gatie
49,Jacques (with ‪Tove Lo),Jax Jones
32,Jailbreak the Tesla (Feat. Aminé),Injury Reserve
38,Jerry Sprunger (with T-Pain),Tory Lanez
19,"Jesus Forgive Me, I Am A Thot",JPEGMAFIA
48,Jesus In LA,Alec Benjamin
21,Jesus Is The One (I Got Depression),Zack Fox
16,Joyful Noise,FLAME
50,Juice,Lizzo
33,Juicy,Doja Cat
42,July,Noah Cyrus
37,July (feat. Leon Bridges),Noah Cyrus
27,Just Friends,Virginia To Vegas
35,KNOCK,Stafford Brothers
10,Keanu Reeves,Logic
3,"Kid Cudi With Nudy, Uzi, and Rocky",Traptology
14,Kill This Love,BLACKPINK
34,Killer (feat. Drake),Nipsey Hussle
38,Knockin' Boots,Luke Bryan
46,LA CANCIÓN,J Balvin
43,La Di Da,Lennon Stella
23,La La Land (feat. YG),Bryce Vine
3,Lalala,Y2K
19,Lark,Angel Olsen
47,Last Hurrah,Bebe Rexha
49,Last Night's Mascara,Brynn Cartelli
47,Last Supper,D Smoke
17,Last Time That I Checc'd (feat. YG),Nipsey Hussle
46,Lay By Me,Ruben
34,Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control
29,Leave Her Wild,Tyler Rich
44,Leave Me Alone,Flipp Dinero
47,"Left Hand (feat. Joey Bada$$, Flatbush Zombies, The Underachievers, Kirk Knight, Nyck Caution, CJ Fly)",Beast Coast
48,Legacy (feat. Travis Scott & 21 Savage),Offset
7,Legends,Juice WRLD
45,Let Go,Beau Young Prince
19,Let Me Down Slowly,Alec Benjamin
17,Let Me Know (I Wonder Why Freestyle),Juice WRLD
41,Let Migo,D Smoke
2,Liar,BigKlit
26,Lie To Me (feat. Julia Michaels),5 Seconds of Summer
29,Life In The City,The Lumineers
18,Light Me Up,SNO
15,Lights Up,Harry Styles
46,Like I Knew You Would,Payton Smith
26,Like a Girl,Lizzo
48,Linus & Lucy - Recorded at Spotify Studios NYC,Anderson .Paak
47,Living Proof,Camila Cabello
38,Loco,Beéle
40,Loco Contigo (with J. Balvin & Tyga),DJ Snake
37,Lonely,Noah Cyrus
46,Lonely If You Are,Chase Rice
37,Longshot,Catfish and the Bottlemen
16,Look Back at It,A Boogie Wit da Hoodie
45,Look What God Gave Her,Thomas Rhett
44,Lose Control,MEDUZA
16,Lose You To Love Me,Selena Gomez
38,Lost in the Fire,Gesaffelstein
37,Lost in the Woods,Jonathan Groff
39,Love Affair,UMI
49,Love Has Won,Citizen Way
42,Love Me,Lil Tecca
23,Love Me Less (feat. Quinn XCII),MAX
25,Love Me More,Trippie Redd
1,Love Songs,Kaash Paige
8,Love Songs - Bonus,Kaash Paige
18,Lovebug,Jonas Brothers
48,Loved by a Country Boy,Trea Landon
45,Lovely - Acoustic Cover,Milli Davis
15,Lover,Taylor Swift
21,Lovestained,Hope Tala
10,Lucid Dreams,Juice WRLD
39,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
19,MIDDLE CHILD,J. Cole
37,MUSHROOM CHOCOLATE (with 6LACK),QUIN
50,Mad Love,Mabel
9,Make It Jingle - Recorded at Electric Lady Studios NYC,Preservation Hall Jazz Band
46,Make It Right (feat. Lauv),BTS
31,Make Me Want To,Jimmie Allen
38,Make No Sense,YoungBoy Never Broke Again
34,Make You Mine,PUBLIC
25,Maniac,Conan Gray
25,Mariners Apartment Complex,Lana Del Rey
16,Marlboro Nights,Lonely God
30,Memories,Maroon 5
39,Mile High (feat. Travis Scott & Metro Boomin),James Blake
6,Mine,Princess Nokia
45,Miserlou,Dick Dale and his Del-Tones
49,Mixed Personalities (feat. Kanye West),YNW Melly
15,Money,The Drums
17,Money In The Grave (Drake ft. Rick Ross),Drake
50,Monica Lewinsky (feat. A Boogie wit da Hoodie),SAINt JHN
45,Monita,Vincent Brahn
34,Monster Mash,"Bobby ""Boris"" Pickett"
8,Moonlight,Gaullin
42,More Hearts Than Mine,Ingrid Andress
40,Mother's Daughter,Miley Cyrus
34,Motivation,Normani
24,Mount Everest,Labrinth
41,Mover Awayer,Hobo Johnson
39,Murder On My Mind,YNW Melly
43,My Bad,Khalid
35,My Feelings,DiRTY RADiO
9,My Person,Spencer Crandall
45,My Type,Saweetie
43,My Type (feat. City Girls & Jhené Aiko) - Remix,Saweetie
22,My Year,GASHI
40,NNAN,Young M.A
8,"Nails, Hair, Hips, Heels",Todrick Hall
23,Nanã,Polo & Pan
47,Need Me,J.I the Prince of N.Y
26,Neon Moon,Cigarettes After Sex
17,Neon Moon - with Kacey Musgraves,Brooks & Dunn
9,Never Ending Story,Limahl
43,Never Go Back,Dennis Lloyd
35,Never Really Over,Katy Perry
32,Never Seen the Rain,Tones And I
31,New Year,The Shires
28,Nice To Meet Ya,Niall Horan
5,Nights Like This (feat. Ty Dolla $ign),Kehlani
19,No Auto Durk,Only The Family
36,No Cap (feat. Rich The Kid),83 Babies
47,No Church In The Wild,JAY-Z
45,No Face No Ca$e,King Lil G
26,No Friends,HappyBirthdayCalvin
46,No Guidance (feat. Drake),Chris Brown
29,No Idea,Don Toliver
22,No Me Conoce - Remix,Jhay Cortez
22,No One But You,Hillsong Worship
44,No Te Enamores,Paloma Mami
18,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)",Ncredible Gang
37,Nobody,Martin Jensen
43,None of This,Bino Rideaux
14,Not,Big Thief
6,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson
47,Nothin’ Out Here (HARDY feat. Thomas Rhett),HARDY
45,Now I'm In It,HAIM
34,Nuketown (feat. Juice WRLD),Ski Mask The Slump God
