Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
129,McKinney,Texas,"195,308",Collin,0.4896,67.0 sq mi,173.5 km2,"2,915/sq mi","1,125/km2",33.19°N 96.66°W
130,Cape Coral,Florida,"194,016",Lee,0.2574,106.0 sq mi,274.5 km2,"1,830/sq mi",710/km2,26.64°N 81.99°W
131,Sioux Falls,South Dakota,"192,517",Minnehaha,0.251,79.1 sq mi,204.9 km2,"2,434/sq mi",940/km2,43.53°N 96.73°W
132,Peoria,Arizona,"190,985",Peoria,0.2396,176.1 sq mi,456.1 km2,"1,085/sq mi",419/km2,33.78°N 112.30°W
133,Providence,Rhode Island,"190,934",Providence,0.0724,18.4 sq mi,47.7 km2,"10,377/sq mi","4,007/km2",41.82°N 71.41°W
134,Vancouver,Washington,"190,915",Clark,0.18,48.7 sq mi,126.1 km2,"3,920/sq mi","1,510/km2",45.63°N 122.59°W
135,Knoxville,Tennessee,"190,740",Knox,0.0663,98.7 sq mi,255.6 km2,"1,933/sq mi",746/km2,35.97°N 83.94°W
136,Akron,Ohio,"190,469",Summit,-4.34%,61.9 sq mi,160.3 km2,"3,077/sq mi","1,188/km2",41.08°N 81.52°W
137,Shreveport,Louisiana,"187,593",Caddo,-5.88%,107.8 sq mi,279.2 km2,"1,740/sq mi",670/km2,32.46°N 93.79°W
138,Mobile,Alabama,"187,041",Mobile,-4.14%,139.5 sq mi,361.3 km2,"1,341/sq mi",518/km2,30.66°N 88.10°W
139,Brownsville,Texas,"186,738",Cameron,0.0669,131.5 sq mi,340.6 km2,"1,420/sq mi",550/km2,25.99°N 97.45°W
140,Newport News,Virginia,"186,247",Newport News,0.0306,69.0 sq mi,178.7 km2,"2,699/sq mi","1,042/km2",37.07°N 76.52°W
141,Fort Lauderdale,Florida,"182,760",Broward,0.1041,34.6 sq mi,89.6 km2,"5,282/sq mi","2,039/km2",26.14°N 80.14°W
142,Chattanooga,Tennessee,"181,099",Hamilton,0.0801,142.4 sq mi,368.8 km2,"1,272/sq mi",491/km2,35.06°N 85.24°W
143,Tempe,Arizona,"180,587",Maricopa,0.1167,39.9 sq mi,103.3 km2,"4,526/sq mi","1,747/km2",33.38°N 111.93°W
144,Aurora,Illinois,"180,542",Aurora,-8.77%,45.0 sq mi,116.5 km2,"4,012/sq mi","1,549/km2",41.76°N 88.29°W
145,Santa Rosa,California,"178,127",Sonoma,0.0614,42.5 sq mi,110.1 km2,"4,191/sq mi","1,618/km2",38.44°N 122.70°W
146,Eugene,Oregon,"176,654",Lane,0.1311,44.2 sq mi,114.5 km2,"3,997/sq mi","1,543/km2",44.05°N 123.11°W
147,Elk Grove,California,"176,124",Sacramento,0.151,42.0 sq mi,108.8 km2,"4,193/sq mi","1,619/km2",38.41°N 121.38°W
148,Salem,Oregon,"175,535",Washington,0.1351,48.8 sq mi,126.4 km2,"3,597/sq mi","1,389/km2",44.92°N 123.02°W
149,Ontario,California,"175,265",San Bernardino,0.0692,50.0 sq mi,129.5 km2,"3,505/sq mi","1,353/km2",34.03°N 117.60°W
150,Cary,North Carolina,"174,721",Cary,0.292,59.2 sq mi,153.3 km2,"2,951/sq mi","1,139/km2",35.78°N 78.81°W
151,Rancho Cucamonga,California,"174,453",San Bernardino,0.0556,40.1 sq mi,103.9 km2,"4,350/sq mi","1,680/km2",34.12°N 117.56°W
152,Oceanside,California,"174,068",San Diego,0.0418,41.3 sq mi,107.0 km2,"4,215/sq mi","1,627/km2",33.22°N 117.30°W
153,Lancaster,California,"173,516",Los Angeles,0.1078,94.3 sq mi,244.2 km2,"1,840/sq mi",710/km2,34.69°N 118.17°W
154,Garden Grove,California,"171,949",Los Angeles,0.0062,18.0 sq mi,46.6 km2,"9,553/sq mi","3,688/km2",33.77°N 117.96°W
155,Pembroke Pines,Florida,"171,178",Broward,0.1114,32.7 sq mi,84.7 km2,"5,235/sq mi","2,021/km2",26.02°N 80.34°W
156,Fort Collins,Colorado,"169,810",Larimer,0.1794,57.2 sq mi,148.1 km2,"2,969/sq mi","1,146/km2",40.54°N 105.06°W
157,Palmdale,California,"169,450",Los Angeles,0.1093,106.1 sq mi,274.8 km2,"1,597/sq mi",617/km2,34.59°N 118.10°W
158,Springfield,Missouri,"169,176",Greene,0.0607,82.4 sq mi,213.4 km2,"2,053/sq mi",793/km2,37.19°N 93.29°W
159,Clarksville,Tennessee,"166,722",Montgomery,0.2542,99.4 sq mi,257.4 km2,"1,677/sq mi",647/km2,36.56°N 87.34°W
160,Salinas,California,"163,542",Monterey,0.0871,23.5 sq mi,60.9 km2,"6,959/sq mi","2,687/km2",36.69°N 121.63°W
161,Hayward,California,"162,954",Alameda,0.1302,45.8 sq mi,118.6 km2,"3,558/sq mi","1,374/km2",37.62°N 122.10°W
